city,datetime,temperature_c,feels_like_c,humidity,pressure,wind_speed_mps,wind_direction_deg,weather_desc,cloudiness_pct
Kuala Lumpur,2025-07-24 20:46:43,30.6,35.1,65,1007,0.38,151,scattered clouds,37
Ampang,2025-07-24 20:46:43,31.4,37.4,66,1007,0.42,136,clear sky,8
